(.venv) C:\Users\busyp\CCIR>python scripts\train.py --epochs 10 --batch_size 64 --device cuda
Device: cuda
Loading BioMedCLIP...
Model on: cuda:0
Trainable params: 57,522,177 / 195,902,721 (29.4%)
Loading tokenizer...
Tokenizer ready.
Loading OrganAMNIST...
OrganAMNIST loaded.
Loading captions...
Pre-tokenizing captions...
Captions ready.
Datasets wrapped.
DataLoaders ready.
Train: 34561 images | Val: 6491 images
Starting training: 10 epochs, lr=0.0001, batch=64
Image tensor device: cuda:0
Token tensor device: cuda:0
Model device: cuda:0
  batch 39/541 | loss=3.3192
  batch 40/541 | loss=3.3159
  batch 41/541 | loss=3.3130
  batch 42/541 | loss=3.3069
  batch 43/541 | loss=3.3040
  batch 44/541 | loss=3.3018
  batch 45/541 | loss=3.3015
  batch 46/541 | loss=3.2958
  batch 47/541 | loss=3.2919
  batch 48/541 | loss=3.2884
  batch 49/541 | loss=3.2854
  batch 50/541 | loss=3.2788
  batch 51/541 | loss=3.2742
  batch 52/541 | loss=3.2773
  batch 53/541 | loss=3.2746
  batch 54/541 | loss=3.2734
  batch 55/541 | loss=3.2703
  batch 56/541 | loss=3.2679
  batch 57/541 | loss=3.2626
  batch 58/541 | loss=3.2636
  batch 59/541 | loss=3.2587
  batch 60/541 | loss=3.2559
  batch 61/541 | loss=3.2520
  batch 62/541 | loss=3.2494
  batch 63/541 | loss=3.2467
  batch 64/541 | loss=3.2461
  batch 65/541 | loss=3.2431
  batch 66/541 | loss=3.2423
  batch 67/541 | loss=3.2404
  batch 68/541 | loss=3.2385
  batch 69/541 | loss=3.2377
  batch 70/541 | loss=3.2366
  batch 71/541 | loss=3.2358
  batch 72/541 | loss=3.2363
  batch 73/541 | loss=3.2376
  batch 74/541 | loss=3.2366
  batch 75/541 | loss=3.2341
  batch 76/541 | loss=3.2336
  batch 77/541 | loss=3.2319
  batch 78/541 | loss=3.2306
  batch 79/541 | loss=3.2293
  batch 80/541 | loss=3.2277
  batch 81/541 | loss=3.2257
  batch 82/541 | loss=3.2247
  batch 83/541 | loss=3.2236
  batch 84/541 | loss=3.2215
  batch 85/541 | loss=3.2202
  batch 86/541 | loss=3.2218
  batch 87/541 | loss=3.2249
  batch 88/541 | loss=3.2248
  batch 89/541 | loss=3.2244
  batch 90/541 | loss=3.2256
  batch 91/541 | loss=3.2273
  batch 92/541 | loss=3.2296
  batch 93/541 | loss=3.2307
  batch 94/541 | loss=3.2295
  batch 95/541 | loss=3.2287
  batch 96/541 | loss=3.2280
  batch 97/541 | loss=3.2267
  batch 98/541 | loss=3.2279
  batch 99/541 | loss=3.2289
  batch 100/541 | loss=3.2280
  batch 101/541 | loss=3.2281
  batch 102/541 | loss=3.2265
  batch 103/541 | loss=3.2256
  batch 104/541 | loss=3.2248
  batch 105/541 | loss=3.2242
  batch 106/541 | loss=3.2236
  batch 107/541 | loss=3.2237
  batch 108/541 | loss=3.2231
  batch 109/541 | loss=3.2220
  batch 110/541 | loss=3.2224
  batch 111/541 | loss=3.2219
  batch 112/541 | loss=3.2214
  batch 113/541 | loss=3.2214
  batch 114/541 | loss=3.2205
  batch 115/541 | loss=3.2211
  batch 116/541 | loss=3.2216
  batch 117/541 | loss=3.2215
  batch 118/541 | loss=3.2213
  batch 119/541 | loss=3.2215
  batch 120/541 | loss=3.2200
  batch 121/541 | loss=3.2210
  batch 122/541 | loss=3.2204
  batch 123/541 | loss=3.2195
  batch 124/541 | loss=3.2177
  batch 125/541 | loss=3.2165
  batch 126/541 | loss=3.2161
  batch 127/541 | loss=3.2154
  batch 128/541 | loss=3.2140
  batch 129/541 | loss=3.2141
  batch 130/541 | loss=3.2127
  batch 131/541 | loss=3.2107
  batch 132/541 | loss=3.2103
  batch 133/541 | loss=3.2110
  batch 134/541 | loss=3.2103
  batch 135/541 | loss=3.2112
  batch 136/541 | loss=3.2114
  batch 137/541 | loss=3.2118
  batch 138/541 | loss=3.2114
  batch 139/541 | loss=3.2103
  batch 140/541 | loss=3.2113
  batch 141/541 | loss=3.2162
  batch 142/541 | loss=3.2176
  batch 143/541 | loss=3.2182
  batch 144/541 | loss=3.2167
  batch 145/541 | loss=3.2161
  batch 146/541 | loss=3.2162
  batch 147/541 | loss=3.2151
  batch 148/541 | loss=3.2148
  batch 149/541 | loss=3.2148
  batch 150/541 | loss=3.2140
  batch 151/541 | loss=3.2130
  batch 152/541 | loss=3.2133
  batch 153/541 | loss=3.2136
  batch 154/541 | loss=3.2125
  batch 155/541 | loss=3.2114
  batch 156/541 | loss=3.2106
  batch 157/541 | loss=3.2104
  batch 158/541 | loss=3.2106
  batch 159/541 | loss=3.2102
  batch 160/541 | loss=3.2097
  batch 161/541 | loss=3.2094
  batch 162/541 | loss=3.2087
  batch 163/541 | loss=3.2091
